location,book_table,name
BTM,No,4818
BTM,Yes,88
Banashankari,No,794
Banashankari,Yes,42
Banaswadi,No,632
Banaswadi,Yes,8
Bannerghatta Road,No,1498
Bannerghatta Road,Yes,46
Basavanagudi,No,661
Basavanagudi,Yes,6
Bellandur,No,1143
Bellandur,Yes,54
Brigade Road,No,941
Brigade Road,Yes,99
Brookefield,No,554
Brookefield,Yes,54
Church Street,No,260
Church Street,Yes,55
Commercial Street,No,370
Cunningham Road,No,315
Cunningham Road,Yes,104
Domlur,No,413
Domlur,Yes,20
Ejipura,No,433
Electronic City,No,1139
Electronic City,Yes,64
Frazer Town,No,680
Frazer Town,Yes,3
HSR,No,2188
HSR,Yes,139
Indiranagar,No,1386
Indiranagar,Yes,194
JP Nagar,No,1854
JP Nagar,Yes,145
Jayanagar,No,1577
Jayanagar,Yes,172
Kalyan Nagar,No,682
Kalyan Nagar,Yes,105
Kammanahalli,No,580
Kammanahalli,Yes,30
Koramangala 1st Block,No,1142
Koramangala 4th Block,No,649
Koramangala 4th Block,Yes,171
Koramangala 5th Block,No,1481
Koramangala 5th Block,Yes,277
Koramangala 6th Block,No,889
Koramangala 6th Block,Yes,43
Koramangala 7th Block,No,931
Koramangala 7th Block,Yes,100
Lavelle Road,No,201
Lavelle Road,Yes,76
MG Road,No,472
MG Road,Yes,153
Malleshwaram,No,600
Malleshwaram,Yes,38
Marathahalli,No,1613
Marathahalli,Yes,73
New BEL Road,No,566
New BEL Road,Yes,29
Old Airport Road,No,370
Old Airport Road,Yes,27
Others,No,4524
Others,Yes,228
Rajajinagar,No,543
Rajajinagar,Yes,21
Residency Road,No,428
Residency Road,Yes,37
Richmond Road,No,612
Richmond Road,Yes,72
Sarjapur Road,No,866
Sarjapur Road,Yes,69
Shanti Nagar,No,445
Shanti Nagar,Yes,57
Shivajinagar,No,475
Shivajinagar,Yes,23
St. Marks Road,No,188
St. Marks Road,Yes,75
Ulsoor,No,775
Ulsoor,Yes,51
Whitefield,No,1773
Whitefield,Yes,125
