location,online_order,name
BTM,No,1741
BTM,Yes,3165
Banashankari,No,379
Banashankari,Yes,457
Banaswadi,No,302
Banaswadi,Yes,338
Bannerghatta Road,No,674
Bannerghatta Road,Yes,870
Basavanagudi,No,231
Basavanagudi,Yes,436
Bellandur,No,506
Bellandur,Yes,691
Brigade Road,No,479
Brigade Road,Yes,561
Brookefield,No,229
Brookefield,Yes,379
Church Street,No,136
Church Street,Yes,179
Commercial Street,No,228
Commercial Street,Yes,142
Cunningham Road,No,162
Cunningham Road,Yes,257
Domlur,No,212
Domlur,Yes,221
Ejipura,No,214
Ejipura,Yes,219
Electronic City,No,658
Electronic City,Yes,545
Frazer Town,No,287
Frazer Town,Yes,396
HSR,No,556
HSR,Yes,1771
Indiranagar,No,527
Indiranagar,Yes,1053
JP Nagar,No,835
JP Nagar,Yes,1164
Jayanagar,No,530
Jayanagar,Yes,1219
Kalyan Nagar,No,327
Kalyan Nagar,Yes,460
Kammanahalli,No,263
Kammanahalli,Yes,347
Koramangala 1st Block,No,359
Koramangala 1st Block,Yes,783
Koramangala 4th Block,No,352
Koramangala 4th Block,Yes,468
Koramangala 5th Block,No,562
Koramangala 5th Block,Yes,1196
Koramangala 6th Block,No,378
Koramangala 6th Block,Yes,554
Koramangala 7th Block,No,358
Koramangala 7th Block,Yes,673
Lavelle Road,No,188
Lavelle Road,Yes,89
MG Road,No,357
MG Road,Yes,268
Malleshwaram,No,272
Malleshwaram,Yes,366
Marathahalli,No,648
Marathahalli,Yes,1038
New BEL Road,No,231
New BEL Road,Yes,364
Old Airport Road,No,189
Old Airport Road,Yes,208
Others,No,1938
Others,Yes,2814
Rajajinagar,No,265
Rajajinagar,Yes,299
Residency Road,No,257
Residency Road,Yes,208
Richmond Road,No,449
Richmond Road,Yes,235
Sarjapur Road,No,292
Sarjapur Road,Yes,643
Shanti Nagar,No,283
Shanti Nagar,Yes,219
Shivajinagar,No,354
Shivajinagar,Yes,144
St. Marks Road,No,144
St. Marks Road,Yes,119
Ulsoor,No,268
Ulsoor,Yes,558
Whitefield,No,892
Whitefield,Yes,1006
