location,Type_of_service,name
BTM,Buffet,13
BTM,Cafes,79
BTM,Delivery,2968
BTM,Desserts,196
BTM,Dine-out,1615
BTM,Drinks & nightlife,18
BTM,Pubs and bars,17
Banashankari,Buffet,3
Banashankari,Cafes,33
Banashankari,Delivery,390
Banashankari,Desserts,66
Banashankari,Dine-out,334
Banashankari,Drinks & nightlife,10
Banaswadi,Cafes,24
Banaswadi,Delivery,310
Banaswadi,Desserts,37
Banaswadi,Dine-out,262
Banaswadi,Drinks & nightlife,6
Banaswadi,Pubs and bars,1
Bannerghatta Road,Buffet,2
Bannerghatta Road,Cafes,46
Bannerghatta Road,Delivery,801
Bannerghatta Road,Desserts,137
Bannerghatta Road,Dine-out,556
Bannerghatta Road,Drinks & nightlife,2
Basavanagudi,Buffet,7
Basavanagudi,Cafes,10
Basavanagudi,Delivery,342
Basavanagudi,Desserts,66
Basavanagudi,Dine-out,240
Basavanagudi,Drinks & nightlife,2
Bellandur,Buffet,19
Bellandur,Cafes,36
Bellandur,Delivery,593
Bellandur,Desserts,73
Bellandur,Dine-out,458
Bellandur,Drinks & nightlife,10
Bellandur,Pubs and bars,8
Brigade Road,Buffet,20
Brigade Road,Cafes,46
Brigade Road,Delivery,445
Brigade Road,Desserts,98
Brigade Road,Dine-out,392
Brigade Road,Drinks & nightlife,29
Brigade Road,Pubs and bars,10
Brookefield,Buffet,1
Brookefield,Cafes,14
Brookefield,Delivery,322
Brookefield,Desserts,41
Brookefield,Dine-out,228
Brookefield,Drinks & nightlife,2
Church Street,Cafes,21
Church Street,Delivery,122
Church Street,Desserts,24
Church Street,Dine-out,124
Church Street,Drinks & nightlife,15
Church Street,Pubs and bars,9
Commercial Street,Cafes,13
Commercial Street,Delivery,121
Commercial Street,Desserts,77
Commercial Street,Dine-out,159
Cunningham Road,Buffet,29
Cunningham Road,Cafes,22
Cunningham Road,Delivery,174
Cunningham Road,Desserts,20
Cunningham Road,Dine-out,161
Cunningham Road,Drinks & nightlife,10
Cunningham Road,Pubs and bars,3
Domlur,Buffet,13
Domlur,Cafes,9
Domlur,Delivery,245
Domlur,Desserts,33
Domlur,Dine-out,121
Domlur,Drinks & nightlife,4
Domlur,Pubs and bars,8
Ejipura,Delivery,245
Ejipura,Desserts,16
Ejipura,Dine-out,172
Electronic City,Buffet,16
Electronic City,Cafes,23
Electronic City,Delivery,559
Electronic City,Desserts,70
Electronic City,Dine-out,498
Electronic City,Drinks & nightlife,18
Electronic City,Pubs and bars,19
Frazer Town,Cafes,11
Frazer Town,Delivery,446
Frazer Town,Desserts,56
Frazer Town,Dine-out,166
Frazer Town,Drinks & nightlife,2
Frazer Town,Pubs and bars,2
HSR,Buffet,12
HSR,Cafes,41
HSR,Delivery,1601
HSR,Desserts,116
HSR,Dine-out,539
HSR,Drinks & nightlife,7
HSR,Pubs and bars,11
Indiranagar,Buffet,10
Indiranagar,Cafes,76
Indiranagar,Delivery,931
Indiranagar,Desserts,122
Indiranagar,Dine-out,396
Indiranagar,Drinks & nightlife,20
Indiranagar,Pubs and bars,25
JP Nagar,Buffet,32
JP Nagar,Cafes,70
JP Nagar,Delivery,1069
JP Nagar,Desserts,166
JP Nagar,Dine-out,635
JP Nagar,Drinks & nightlife,24
JP Nagar,Pubs and bars,3
Jayanagar,Buffet,17
Jayanagar,Cafes,70
Jayanagar,Delivery,957
Jayanagar,Desserts,175
Jayanagar,Dine-out,523
Jayanagar,Drinks & nightlife,7
Kalyan Nagar,Buffet,5
Kalyan Nagar,Cafes,43
Kalyan Nagar,Delivery,348
Kalyan Nagar,Desserts,88
Kalyan Nagar,Dine-out,291
Kalyan Nagar,Drinks & nightlife,12
Kammanahalli,Buffet,1
Kammanahalli,Cafes,23
Kammanahalli,Delivery,316
Kammanahalli,Desserts,35
Kammanahalli,Dine-out,229
Kammanahalli,Drinks & nightlife,6
Koramangala 1st Block,Cafes,14
Koramangala 1st Block,Delivery,683
Koramangala 1st Block,Desserts,61
Koramangala 1st Block,Dine-out,369
Koramangala 1st Block,Drinks & nightlife,3
Koramangala 1st Block,Pubs and bars,12
Koramangala 4th Block,Buffet,13
Koramangala 4th Block,Cafes,35
Koramangala 4th Block,Delivery,405
Koramangala 4th Block,Desserts,75
Koramangala 4th Block,Dine-out,235
Koramangala 4th Block,Drinks & nightlife,36
Koramangala 4th Block,Pubs and bars,21
Koramangala 5th Block,Buffet,15
Koramangala 5th Block,Cafes,91
